title,description,thumbnailId,createdBy,createdByName,createdAt,published,flashcardCount,standard,subject,flashcardsData
"Algebra Basics","Introduction to algebraic expressions and equations","thumbnail-algebra","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"9th","maths-1","{""titleImageId"":""title-algebra"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-algebra-1"",""backImageId"":""back-algebra-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-algebra-2"",""backImageId"":""back-algebra-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-algebra-3"",""backImageId"":""back-algebra-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-algebra-4"",""backImageId"":""back-algebra-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-algebra-5"",""backImageId"":""back-algebra-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-algebra-6"",""backImageId"":""back-algebra-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-algebra-7"",""backImageId"":""back-algebra-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-algebra-8"",""backImageId"":""back-algebra-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-algebra-9"",""backImageId"":""back-algebra-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-algebra-10"",""backImageId"":""back-algebra-10"",""cardNumber"":10}]}"
"Geometry Fundamentals","Basic concepts of points, lines, and shapes","thumbnail-geometry","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"9th","maths-2","{""titleImageId"":""title-geometry"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-geometry-1"",""backImageId"":""back-geometry-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-geometry-2"",""backImageId"":""back-geometry-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-geometry-3"",""backImageId"":""back-geometry-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-geometry-4"",""backImageId"":""back-geometry-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-geometry-5"",""backImageId"":""back-geometry-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-geometry-6"",""backImageId"":""back-geometry-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-geometry-7"",""backImageId"":""back-geometry-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-geometry-8"",""backImageId"":""back-geometry-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-geometry-9"",""backImageId"":""back-geometry-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-geometry-10"",""backImageId"":""back-geometry-10"",""cardNumber"":10}]}"
"English Grammar","Parts of speech and sentence structure","thumbnail-english","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"9th","english","{""titleImageId"":""title-english"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-english-1"",""backImageId"":""back-english-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-english-2"",""backImageId"":""back-english-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-english-3"",""backImageId"":""back-english-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-english-4"",""backImageId"":""back-english-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-english-5"",""backImageId"":""back-english-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-english-6"",""backImageId"":""back-english-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-english-7"",""backImageId"":""back-english-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-english-8"",""backImageId"":""back-english-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-english-9"",""backImageId"":""back-english-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-english-10"",""backImageId"":""back-english-10"",""cardNumber"":10}]}"
"Marathi Literature","Famous Marathi poets and their works","thumbnail-marathi","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"9th","marathi","{""titleImageId"":""title-marathi"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-marathi-1"",""backImageId"":""back-marathi-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-marathi-2"",""backImageId"":""back-marathi-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-marathi-3"",""backImageId"":""back-marathi-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-marathi-4"",""backImageId"":""back-marathi-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-marathi-5"",""backImageId"":""back-marathi-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-marathi-6"",""backImageId"":""back-marathi-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-marathi-7"",""backImageId"":""back-marathi-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-marathi-8"",""backImageId"":""back-marathi-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-marathi-9"",""backImageId"":""back-marathi-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-marathi-10"",""backImageId"":""back-marathi-10"",""cardNumber"":10}]}"
"Science Physics","Motion, force, and energy concepts","thumbnail-physics","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"9th","science-1","{""titleImageId"":""title-physics"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-physics-1"",""backImageId"":""back-physics-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-physics-2"",""backImageId"":""back-physics-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-physics-3"",""backImageId"":""back-physics-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-physics-4"",""backImageId"":""back-physics-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-physics-5"",""backImageId"":""back-physics-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-physics-6"",""backImageId"":""back-physics-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-physics-7"",""backImageId"":""back-physics-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-physics-8"",""backImageId"":""back-physics-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-physics-9"",""backImageId"":""back-physics-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-physics-10"",""backImageId"":""back-physics-10"",""cardNumber"":10}]}"
"Science Chemistry","Elements, compounds, and reactions","thumbnail-chemistry","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"9th","science-2","{""titleImageId"":""title-chemistry"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-chemistry-1"",""backImageId"":""back-chemistry-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-chemistry-2"",""backImageId"":""back-chemistry-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-chemistry-3"",""backImageId"":""back-chemistry-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-chemistry-4"",""backImageId"":""back-chemistry-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-chemistry-5"",""backImageId"":""back-chemistry-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-chemistry-6"",""backImageId"":""back-chemistry-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-chemistry-7"",""backImageId"":""back-chemistry-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-chemistry-8"",""backImageId"":""back-chemistry-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-chemistry-9"",""backImageId"":""back-chemistry-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-chemistry-10"",""backImageId"":""back-chemistry-10"",""cardNumber"":10}]}"
"History Civics","Indian freedom movement and democracy","thumbnail-history","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"9th","history-civics","{""titleImageId"":""title-history"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-history-1"",""backImageId"":""back-history-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-history-2"",""backImageId"":""back-history-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-history-3"",""backImageId"":""back-history-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-history-4"",""backImageId"":""back-history-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-history-5"",""backImageId"":""back-history-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-history-6"",""backImageId"":""back-history-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-history-7"",""backImageId"":""back-history-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-history-8"",""backImageId"":""back-history-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-history-9"",""backImageId"":""back-history-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-history-10"",""backImageId"":""back-history-10"",""cardNumber"":10}]}"
"Geography of India","Physical features and climate of India","thumbnail-geography","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"9th","geography","{""titleImageId"":""title-geography"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-geography-1"",""backImageId"":""back-geography-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-geography-2"",""backImageId"":""back-geography-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-geography-3"",""backImageId"":""back-geography-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-geography-4"",""backImageId"":""back-geography-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-geography-5"",""backImageId"":""back-geography-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-geography-6"",""backImageId"":""back-geography-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-geography-7"",""backImageId"":""back-geography-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-geography-8"",""backImageId"":""back-geography-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-geography-9"",""backImageId"":""back-geography-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-geography-10"",""backImageId"":""back-geography-10"",""cardNumber"":10}]}"
"Advanced Algebra","Quadratic equations and polynomials","thumbnail-algebra-10","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"10th","maths-1","{""titleImageId"":""title-algebra-10"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-algebra-10-1"",""backImageId"":""back-algebra-10-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-algebra-10-2"",""backImageId"":""back-algebra-10-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-algebra-10-3"",""backImageId"":""back-algebra-10-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-algebra-10-4"",""backImageId"":""back-algebra-10-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-algebra-10-5"",""backImageId"":""back-algebra-10-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-algebra-10-6"",""backImageId"":""back-algebra-10-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-algebra-10-7"",""backImageId"":""back-algebra-10-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-algebra-10-8"",""backImageId"":""back-algebra-10-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-algebra-10-9"",""backImageId"":""back-algebra-10-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-algebra-10-10"",""backImageId"":""back-algebra-10-10"",""cardNumber"":10}]}"
"Coordinate Geometry","Graphs and coordinate systems","thumbnail-geometry-10","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"10th","maths-2","{""titleImageId"":""title-geometry-10"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-geometry-10-1"",""backImageId"":""back-geometry-10-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-geometry-10-2"",""backImageId"":""back-geometry-10-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-geometry-10-3"",""backImageId"":""back-geometry-10-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-geometry-10-4"",""backImageId"":""back-geometry-10-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-geometry-10-5"",""backImageId"":""back-geometry-10-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-geometry-10-6"",""backImageId"":""back-geometry-10-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-geometry-10-7"",""backImageId"":""back-geometry-10-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-geometry-10-8"",""backImageId"":""back-geometry-10-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-geometry-10-9"",""backImageId"":""back-geometry-10-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-geometry-10-10"",""backImageId"":""back-geometry-10-10"",""cardNumber"":10}]}"
